리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
집에서 편하게 입기도 좋고 이너로 활용해도 좋을것 같습니다 ,남성, 178cm, 79kg,커요,보통이에요,흐려요,두꺼워요
바지사는김에 저렴하게 떠있어서 주문함  릴렉스핏이라 편하고 포근함  두깨감 좀 있어서 더 좋음 갸굿,남성, 185cm, 80kg,커요,보통이에요,선명해요,보통이에요
크기가 넉넉해서 한 치수 작게 했는데도 잘 맞았습니다 ,남성, 191cm, 95kg,보통이에요,보통이에요,보통이에요,보통이에요
남색 구매했는데 너무 좋아서 스모크 핑크도 구매해봅니다그냥 톤 다운 된 핑크이겠거니 생각했는데엄청 고급진 색깔이네요싸게 잘 샀고 잘 입을 것 같아요잉,남성, 177cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요
핏은세미오버핏정도되는것같아요여름에색깔별로구해서반바지와편하게스타일하기좋은것같아요,남성, 172cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
그냥 집에서 막입는 용도로 샀어여 대충 세탁해도 안늘어나고 좋아요,남성, 177cm, 68kg,보통이에요,밝아요,선명해요,보통이에요
티셔츠 색상이 너무 마음에 들었어요 ㅎㅎ 딱 적당한 색상 좋았어요 ,남성, 183cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
검은색 사고 추가로 구매했는데 검은색보가 얇은 느낌입니다,남성, 181cm, 83kg,보통이에요,보통이에요,보통이에요,보통이에요
너무 이뻐요 감사합니다 또살꼬야요아직도 안사신분 꼭 구매하세여   ,남성, 174cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
오버핏좋아하시면 한사이즈 업하세요이쁘네요,남성, 178cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요
요즘유행하는 오버핫 핏에 적당히 두꺼운 두께감에 목시보리도 탄탄하고 변형도 적습니다  굉장히 만족스러웠습니다 ,남성, 182cm, 71kg,커요,보통이에요,보통이에요,두꺼워요
너무 예뻐요 역시 무신사입니다   또 구매할래요 감사합니다,남성, 175cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요
밖에서입기도편하고가볍네반팔티라그런지허허,남성, 174cm, 62kg,커요,밝아요,보통이에요,보통이에요
가성비 반팔로 너무 좋습니다 핏도 만족스럽습니다,남성, 167cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요
색깔이 다른 기본 무지티셔츠  사이즈로 입으니 세미 오버핏 정도 입니다,남성, 176cm, 75kg,보통이에요,어두워요,보통이에요,보통이에요
가성비 좋은거 같아요 색깔도 다양해서 다른것도 사보려고요 ,남성, 178cm, 63kg,보통이에요,밝아요,선명해요,보통이에요
사이즈 오버핏 적당하고 두께도 너무 두껍지 않아서 겨땀흘려도 티 안날 것 같습니다 ,남성, 171cm, 79kg,커요,보통이에요,선명해요,보통이에요
개이뻐요 그리고 개편하고요 개좋아요 편하고요 뭐 나쁘지않아요,여성, 177cm, 61kg,작아요,어두워요,보통이에요,보통이에요
편하게 입으려고 샀는데 괜찮네요세탁 몇 번 하다 보면 작아질 거 같긴 하지만사이즈도 만족 ,남성, 167cm, 59kg,보통이에요,보통이에요,보통이에요,보통이에요
부담 없이 편하게 입으려고 샀는데 좋네요기장이 살짝 길긴 한데 나쁘지 않습니다,남성, 167cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요
바지에 맞추어서 입으려고 샀는데 두께감도 좋고 옷 재질이 힘이 있어서 너무 좋아요좋은 가격에 좋은 제품인 것 같습니다,남성, 173cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
일반핏 보다 맘에 듭니다  색감도 잘 나와서 포인트 주기 좋음요 ,남성, 174cm, 75kg,보통이에요,밝아요,보통이에요,보통이에요
색감이 무난하게 입기 아주 좋네요 사이즈도 넉넉해서 저같은 체형 강추,남성, 183cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요
생각보다 퀄리티가 좋아요다음에도 계속 구매 할께요,남성, 178cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요
마실용으로 입으려고 구매했는데 배송 빠르고 가격대비 원단이나 마감이 상당히 좋아요,남성, 176cm, 85kg,커요,보통이에요,보통이에요,보통이에요
사이즈 잘맞고 간단 심플하고 예쁩니다 사세요 여러분,남성, 171cm, 53kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈 잘맞고 간단 심플하고 예쁩니다 사세요 여러분,남성, 171cm, 53kg,보통이에요,보통이에요,보통이에요,보통이에요
색상 검정이며 사이즈 괜찮고 가볍게 입기 좋습니다  ,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
옷두께도 적당하고 핏도 괜찮아서 무난하게 잘입고 있습니다,남성, 187cm, 88kg,보통이에요,보통이에요,보통이에요,보통이에요
가성비 있고 편하게 입기 좋아요 몇장 샀어용 또 살 예정,남성, 179cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요
옷이 얇은데도 편하고 잘 안비치고 길이가 길어서 넣어입기 좋아요 색깔은 흐리멍텅해서 맘에듬,남성, 173cm, 70kg,보통이에요,보통이에요,흐려요,얇아요
옷이 얇은데도 잘 안비치고 편하구 길이가 길어서 넣어입기 좋아요,남성, 173cm, 70kg,보통이에요,밝아요,선명해요,얇아요
색또 특이하고 좋아요 팥죽색 좋아요 옷감도 좋음,남성, 179cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요
핏도 적당하고 옷감도 꽤 괜찮았어요두껍지도않고 얇지않은 아주 적당함,남성, 179cm, 82kg,보통이에요,밝아요,보통이에요,보통이에요
적립금타기 힘들다 하잘 쓰고있고 막입기 좋아요,남성, 168cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요
소재 컬러 오버핏 길이 딱 다맘에듭니다다름컬러도 구매했어요,남성, 174cm, 74kg,보통이에요,보통이에요,선명해요,보통이에요
길이도 적당하고 두께도 적당하고 전체적으로 부담되지 않고 마음에 듭니다,남성, 177cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
기본티인데 착용감 좋고 무난합니다 어중간한 가격대의 티보다 가성비 좋고 만족합니다 ,남성, 176cm, 80kg,보통이에요,보통이에요,선명해요,보통이에요
역시 깔끔하니 군더더기없이 좋습니다  가격좋고 무엇보다 넥라인이 탄탄해서 좋아요 ,남성, 173cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
여름에 시원하게 입기 좋아 편하게 입을 것 같습니다,남성, 171cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
편하고 재질도 좋아요 가격도 착하고 편하게입고다니기좋아요,남성, 189cm, 95kg,보통이에요,보통이에요,보통이에요,보통이에요
저렴한데도 색감도 좋고 편하게 잘 입을 것 같아요,남성, 183cm, 88kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드 가성비 너무 좋아요두께감 적당하고 오버핏으로 편안하고 이쁘네요,남성, 184cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드 가성비 너무 좋아요두께감 적당하고 오버핏으로 편안하고 이쁘네요,남성, 184cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드 가성비 너무 좋아요두께감 적당하고 오버핏으로 편안하고 이쁘네요,남성, 184cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
 사이즈도좋고 색상도 동일하네요 재구매 의사 있습니다,남성, 180cm, 64kg,보통이에요,보통이에요,보통이에요,얇아요
제가 생각했던 사이즈보다 좀 큰것같아요 하지만 제품퀄리티는 좋습니다 몇개구입해서 잘 입고 있어요   ,남성, 185cm, 92kg,커요,밝아요,선명해요,보통이에요
기장 좀 길었는데 핏 괜찮았고 마음에 들었습니다,남성, 174cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
오버핏이라 넉넉하게 입기 좋습니다 색감도 선명해서 좋아요,남성, 177cm, 79kg,커요,밝아요,선명해요,보통이에요
가성비 좋고 단품이나 이너로 입어도 아주 훌륭합니다,남성, 179cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
할인해서 아주 싸게 잘샀습니다  편하게 입고 다니기 좋을것 같아요  ,남성, 171cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요
엄정 좋아요 최고 다시 오고 살겠습니다 완전히 좋은 쇼핑입니다 ,남성, 178cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
생각했던 것 보다는 색이 조금 더 밝아요 그래도 제품 페이지에 나오는 색이랑 거의 비슷해요 상의는 평소 어깨때문에   입는데 요거는  사이즈 입어도 괜찮아요    사면 좀 클거같아요길이는 손목살짝 아래로 내려오고전체적으로 만족스러워요,남성, 181cm, 65kg,보통이에요,보통이에요,보통이에요,얇아요
역시 믿고입는 무탠다드 ㅎㅎ 색깔별로 구매예정입니다,남성, 176cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
사이즈 핏 다 만족합니다 다만 색상이 좀 틔어서 집에서 입으려구 구매합니다 ,남성, 174cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요
뭐 그냥 기본 흰티로 좋습니다 그 가격 이상 이하의 퀄리티도 아님,남성, 175cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
니트 베스트에다가 레이어드해서 입기에도 좋습니다  ,남성, 167cm, 61kg,보통이에요,보통이에요,보통이에요,보통이에요
예뻐요 예뻐요 성공적입니다 핏도 나쁘지 않습니다,남성, 169cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요
옷 재질도 좋고 싼가격에 너무 좋은거같아요 완전 추천,여성, 167cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
남자꺼라 살짝 크지만 오버핏 좋아해서 오히러 좋아요 짱 추천해용,여성, 160cm, 50kg,커요,보통이에요,보통이에요,보통이에요
