리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
재작년에 사서 맘에들어서 블랙 화이트 구매했습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
마음에 들어서 예전에 한개 샀었지만 이번에 또 샀어요  미니멀 룩으로 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
적당한 세미오버 핏이고 재질 탄탄한 느낌입니다  흰색 사고 마음에들어서 검은색도 구입했네요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
넥라인이 없어서 깔끔하고 어깨깡패 핏입니다  다른색도 살예정,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
178 68에 정사이즈로 맞네요  한치수 올려도 오버핏으로 예쁨,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
낭낭하게 입으려고 사이즈 올려서 샀는데 마음에 드네요 ,남성, 170cm, 84kg,커요,보통이에요,보통이에요,보통이에요
핏이 저한테 잘 맞아서 색상별로 가지고 있네요 다소 색상들이 흐릿한감이 있지만 가격보고 만족합니다,남성, 173cm, 68kg,보통이에요,어두워요,흐려요,보통이에요
색갈 이쁘고 쫀쫀하니 좋아여   은 딱 맞고  은 크네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
재구매의사있습니다너무 이뻐요살쪗는디 사이즈고 재질이고 좋네요편한 출퇴근용 딱,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
넉넉한 핏에 너무 편해서 데일리로 입는 것 같네요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
건조기돌려도 목늘어남 전혀없고 탄탄하고 좋습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
조금 두터운감이 있습니다 핏은괜찮고 이너로 굿,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,두꺼워요
무탠다드로만 매치했습니다 나름 만족합니다 잘 입을게요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
할인받아서 잘 샀어요 픔질이야 뭐 두말하면 잔소리 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
조금 더울수도 있을거같지만 무난한 긴팔 티셔츠라고 생각됩니다 데일리룩으로사용가능할거같네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가장 무난하게 입는 흰 롱슬리브 티로 샀습니다 단품으로 입기에는 조금 심심할 수 있어요 ,남성, 173cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
일단 비침이 있습니다  단품으로 입기에는 무리가 있을듯요,남성, 175cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요
국밥처럼 안에 입기 딱저아용다만 너무 하얘서 하나만 단독으로 입으면 속 비칠것같고 안에 뭘입던가 밖에 더 입는거 추천해요,남성, 173cm, 80kg,보통이에요,밝아요,선명해요,보통이에요
목부분이 늘어나지 않을 것 같아서 만족하고 색상도 예쁩니다 ,남성, 177cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
짱이에유질도 좋고 안늘어나는 목손 만족입니다유,남성, 177cm, 68kg,커요,밝아요,보통이에요,두꺼워요
사이즈도 딱 여유롭고 편하게 입기 너무 좋을 것 같아요 할인 가격에 구매해서 만족합니다 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
사이즈도 딱 여유롭고 편하게 입기 너무 좋을 것 같아요 할인 가격에 구매해서 만족합니다 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
