리뷰,성별,키,몸무게,사이즈,밝기,색감,두께감
저번에 잘 구매했습니다 봄가을겨울에 입어야징 추천함,남성, 175cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠다드로 다들 졸업하시오흰색 긴팔 티셔츠 무난함,남성, 173cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
무난한 검정 무지 긴 롱 슬리브딱 좋네요 실내가 너무 추워서 샀어요,남성, 171cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
받았는데 생각보다 앏아서 실망했는데역시 무탠다드 저를 실망시키지 않아요몇일 입어보니까 전혀 얇지않고 좋아요,남성, 180cm, 81kg,보통이에요,보통이에요,보통이에요,보통이에요
옷 좋고 짱짱 좋아요 그리고 사이즈도 딱 맞아요 굿,남성, 170cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
화면하고 색이 달라요 사진으로는 안담기는데 너무 애매하네요 약간 초록빛돌아요,남성, 171cm, 67kg,보통이에요,어두워요,흐려요,보통이에요
재구매했습니다 배송도 빠르고 가성비 최고네요,남성, 171cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
배송이 겁나 빠르네요 가성비도 좋아서 또 구매했습니다,남성, 171cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
마른 사람도 체형 커버가 되네요 두께도 적당하니 견딜 수 있다면 여름에도 입을 수 있네요  완전 한여름에는 힘들 듯 합니다 ,남성, 170cm, 48kg,보통이에요,보통이에요,선명해요,보통이에요
너무 이쁘고 핏좋네여 또사고시퍼용 강추드려요 가성비 갑인제품임다ㅐ,남성, 167cm, 50kg,보통이에요,보통이에요,보통이에요,보통이에요
무난하게 입을 수 있는것 같고 팔길이랑 옷 길이도      ,여성, 160cm, 41kg,보통이에요,보통이에요,보통이에요,보통이에요
팔길고 어깨가 넓고 상체가 큰 체형입니다 제 체격에 맞는 옷을 찾기가 쉽지않은데 3  까지 있어 좋네요 적당히 루즈핏이라 편하게 입기좋은듯합니다  오버사이즈핏은 아닙니다,남성, 186cm, 95kg,보통이에요,보통이에요,선명해요,두꺼워요
롱슬리브 하나 필요해서 사봤는데 가격대비 퀄이 너무 좋네요,남성, 178cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
비침 약간있지만 어차피 안에 이너로 입을거라 상관없어서 만족합니다,남성, 178cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
무난한 기본 긴팔티입니다이너로 입기 좋고 근데 한사이즈 업할걸 그랬어요,남성, 169cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
학교에서 편하게 자주 입고 다녀요  추천드립니다 ,여성, 164cm, 59kg,보통이에요,밝아요,선명해요,보통이에요
가장 기본적인 티라서 그런지 청바지나 트레이닝바지 위에 입어도 무난히 어울리는 것 같습니다 기본 레어템입니다  평소 티셔츠는 105    사이즈를 입었는데  이 티셔츠는 2  도 잘 맞네요 ,남성, 185cm, 78kg,보통이에요,보통이에요,선명해요,보통이에요
편하게 입기 딱 좋아요 여기저기 속에 입기듀 좋습니다,여성, 166cm, 56kg,보통이에요,밝아요,선명해요,보통이에요
 기본적인 긴팔 티인데 색깔도 이뻐서 봄 가을엔 그냥 입기에도 좋고 셔츠 위에 입어도 좋을 것 같아요 ,남성, 179cm, 69kg,보통이에요,밝아요,선명해요,보통이에요
무신사 스탠다드는 믿고 구매해요가성비 고퀄 최고 ,남성, 171cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
제바디 사이즈랑 비슷하신분들 사진에 팔길이 잘보고사세요  예상보다 길어요,남성, 169cm, 70kg,보통이에요,보통이에요,선명해요,보통이에요
덩치가 커져서 그런가 작아졌어요 원래 이렇게 안작았는데,남성, 178cm, 79kg,보통이에요,보통이에요,보통이에요,보통이에요
그냥 심플하게 편의점 가거나 산책나갈때 좋을것 같아요 ,남성, 173cm, 64kg,보통이에요,보통이에요,선명해요,보통이에요
소재 좋고 무난하게 입기 좋네요 자주 입을거 같아요,남성, 181cm, 73kg,보통이에요,보통이에요,보통이에요,보통이에요
무탠  기본이 기본했다재구매 가보자구          ,남성, 178cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
길이감 기장감 두께감 다 적당하고 흰옷은 이너를 입고 입는 편이라 그런지 비치는것도 크게 걱정없어요,남성, 178cm, 70kg,커요,밝아요,선명해요,보통이에요
무신사스탠다드라고해서 미니멀스럽게 몸집이 작은 분들만 입을 수 있는 그런 것들인 줄 알았는데 저도 괜찮게 맞네요      ,남성, 192cm, 86kg,보통이에요,보통이에요,보통이에요,보통이에요
봄이나 가을에 입기 딱 좋은 옷입니다 색깔도 선명하고 사이즈도 적당하네요 ,남성, 173cm, 64kg,보통이에요,밝아요,선명해요,얇아요
무신사 스탠다드 항상 즐겨입는데 이번에도 좋았습니다,남성, 168cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
역시 제일 무난하면서 기본적으로 갖고 있어야할 옷인거 같네요  이너용으로도 좋고 그냥 무지로도 좋습니다 ,남성, 170cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
살짝 구겨져서 와서 사진이 안이쁜데 만족합니당 색 겁나이뿜 ,NaN,NaN,NaN,보통이에요,밝아요,보통이에요,보통이에요
레이어드나 이너로 활용하기 딱 좋은 것 같습니다 ,남성, 172cm, 67kg,보통이에요,보통이에요,보통이에요,보통이에요
평범한 이너로 입기좋아요 무신사 스텐다드는 다 평타치,남성, 180cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요
기본티셔츠로 딱이에요  다리미질해서 깔끔하게 입고 다니려구요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
널널한 사이즈라 입기 좋아요  핏도 입기 편하네요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
퀄리티 좋은 옷을 합리적인 가격에 구매할 수 있어서 좋았습니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
봄  가을 레이어드로 입기 딱 좋네요두께도 딱 만족합니다 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,얇아요
화이트보단 블랙이 더 저랑맞는거같아요 ㅎㅎ 그치만 둘다 너무 가성비좋고 이쁜 기본템 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
조아요완존 모던하구 무난하구 여름에도 팔걷어서 입어도 괜찮아요  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
이너로도 입고 봄가을에는 하나먼 입고 다녀도 좋을듯170 65 스펙입니다,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
딱 생각하는 기본 흰 긴팔티에요어디든 무난하게 입을듯 사이즈 딱좋음,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
기본티로 정말 좋습니다 반바지랑 입어도 넘 이뻐요 ㅎㅎ,남성, 183cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요
핏 너무 맘에 들고여 얇아서 여름에 입기도 좋을 거 같습니다,남성, 170cm, 66kg,보통이에요,보통이에요,보통이에요,보통이에요
오버하게 완전 편하기 입으려고 크게샀습니다 좋아요,남성, 177cm, 79kg,커요,보통이에요,보통이에요,보통이에요
한 번 빨면 늘어남보단 쫄아듬  있음 건조기 돌려서 그런 걸 수도  ㅎ   아빠요 사세요,남성, 169cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
무난한티입니더 별거없지만 저렴한 가볍게 막입기 좋아요 ,남성, 169cm, 55kg,보통이에요,보통이에요,보통이에요,보통이에요
입고 있는 반바지랑 코디가 잘 어울리는 것 같아요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
가볍게 나갈 때 입고 나가면 감성 읏 됩니다가격도 저렴하니까 구매해보세요,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
편하게 잘 입고 있어요 무탠다드 믿고 항상 잘 입고 있어요,NaN,NaN,NaN,보통이에요,밝아요,선명해요,보통이에요
기본티 느낌입니다 얇아요보이는 것과는 다르게 세탁 여러번 했는데도 변형은 없었습니다,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,얇아요
얇은 느낌이고 기본 티 입니다 옷이 약해보이는데 세탁 여러번 했는데도 생각보다 변형이 없고 좋아요,NaN,NaN,NaN,보통이에요,보통이에요,선명해요,얇아요
여행 갈때 입으려고 샀는데 이쁘네요 잘 입었습니다,남성, 179cm, 76kg,커요,보통이에요,선명해요,보통이에요
일단 소매길이 딱 알맞게 이쁘고 넥밴드도 탄탄합니다,남성, 181cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요
얇아서 통풍도 잘되고 한사이즈 업해더니 기장도 좋아요,남성, 177cm, 65kg,보통이에요,보통이에요,보통이에요,얇아요
레이어드로 편하게 자주 애용하는 제품입니다 가격대비 아주 좋네요,남성, 188cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요
제 스펙이랑 비슷하신 분들은 사이즈  으로 가면 딱 떨어지는 핏 나와요,여성, 172cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요
딱 무난해서 가격값하는 것 같습니다 재구매할것같아여,남성, 176cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요
시이즈도 괜찮고 질도 좋은 것 같아요 정말 잘 산 것 같네요,남성, 171cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요
제작년에 샀던 제품 지금까지 잘 입고 있어서 또 구매합니다  ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,보통이에요
잘맞습니다 핏이나 얇기나 다 만족 흰옷이라 킴치국물이나 조심중 ㅎㅎ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,얇아요
핏 원단 모두 좋아요  가성비 이너로 잘 입을것 같아요 ,NaN,NaN,NaN,보통이에요,보통이에요,보통이에요,얇아요
기본 긴팔 티셔츠로 아주 딱입니다 가격도 좋구요,남성, 171cm, 64kg,보통이에요,보통이에요,보통이에요,보통이에요
세일할 때마다 색 별로 모으고 있는 무신사 긴팔티,남성, 181cm, 58kg,보통이에요,보통이에요,보통이에요,보통이에요
