gender,height,weight,item,content,size,brightness,color,thickness
여성, 157cm,42kg,에센셜 쿨 코튼 2-PACK 티셔츠,입으면 팔이 약간 길긴 한데 그래도 편하고 시원해요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 186cm,91kg,에센셜 쿨 코튼 2-PACK 티셔츠,오버핏을 좋아서 딱좋았습니다 어깨선이 초큼 큰감이 없지 않긴 한데 만족해요,커요,보통이에요,보통이에요,얇아요
남성, 168cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,제가 평소에 크게입어서 좀 크게 주문했는데 엄청크네요,커요,보통이에요,보통이에요,보통이에요
남성, 173cm,56kg,에센셜 쿨 코튼 2-PACK 티셔츠,느낌이좋고시원해서 좋아요 1+1이라서 특템했네요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 181cm,85kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷 재질이 얇아서 여름에 입기 좋고 내구성도 얇은거에 비하면 좋은편입니다,보통이에요,보통이에요,선명해요,얇아요
남성, 178cm,63kg,쿨 코튼 2-PACK 티셔츠 화이트,어느 팬츠에나 잘 어울리는 화이트 컬러의 반팔티입니다.일반 면티보다 내구성이 좋을 것 같은 소재감과 부들부들한 터치감이 매력적이에요,보통이에요,보통이에요,선명해요,보통이에요
남성, 181cm,78kg,에센셜 쿨 코튼 2-PACK 티셔츠,정말 '기본'의 본질을 아는 곳이라고 생각합니다. 넥 부분 쫀쫀하고 로고의 크기도 과하지 않고 가격마저  착해요 청바지와 잘 어울리는 커버낫 최곱니다.,보통이에요,보통이에요,선명해요,보통이에요
남성, 186cm,85kg,에센셜 쿨 코튼 2-PACK 티셔츠,커버낫 티셔츠 여름에 입어도 많이 안 덥고 좋네용,보통이에요,보통이에요,보통이에요,보통이에요
남성, 183cm,85kg,에센셜 쿨 코튼 2-PACK 티셔츠,어떤 옷에도 코디가 잘 되고 편하고 예뻐서 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 164cm,55kg,에센셜 쿨 코튼 2-PACK 티셔츠,옷은 기본적이에요 소재도 완전 면은 아니라서 더 부드럽고 찰랑찰랑하는 느낌이에요,보통이에요,보통이에요,보통이에요,보통이에요
남성, 173cm,70kg,쿨 코튼 2-PACK 티셔츠 화이트,정말싸고 통풍잘되고 가성비 전투용으로 구매했습니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 180cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,무난무난하게 입을 수 있는 티셔츠네요. 이뻐요.사이즈는 정사이즈 구매하시면 이쁘게 오버핏해서 입을 수 있을 것 같아요.,보통이에요,보통이에요,보통이에요,보통이에요
남성, 181cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,소재가 시원하게 얇은 소재라서 편하고 이너나 단벌로도 입을 수 있어요,보통이에요,보통이에요,보통이에요,보통이에요
