user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval,cm,총장,어깨너비,가슴단면,소매길이
LV 3 뉴비_ee6caa91,남성, 173cm, 70kg,[Mmlg] 19MG HOOD (EVERY BLACK),M,5.0,총장이 조금 짧나 싶긴한데 원하는 핏으로 잘 나옵니다 예뻐요,보통이에요,어두워요,선명해요,두꺼워요,M,67.0,56.0,63.0,64.0
LV 3 써니627,남성, 178cm, 63kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),L,5.0,그레이색상 있는데 너무 잘 입고 다녀서 이번에 네이비로 구입했습니다 디자인도 이쁘고 좋습니다,보통이에요,보통이에요,선명해요,보통이에요,L,70.0,59.0,66.0,67.0
LV 4 bbbbbdb,여성, 167cm, 57kg,[Mmlg] 19MG HOOD (NATURAL SOAP),M,5.0,기모도 따뜻하고 핏도 예뻐서 좋아용 87mm이 퀄은 정말 좋은듯,보통이에요,보통이에요,선명해요,두꺼워요,M,67.0,56.0,63.0,64.0
LV 3 과자먹고싶어요,여성, 161cm, 52kg,[Mmlg] 19MG HOOD (EVERY GREY),S,5.0,일단 이뻐요 오버핏 안좋아해서 s가 정사이즈라길래 샀는데 너무 제 스타일이에요ㅠㅠ 오버핏 안좋아하시는 분들 꼭 s로 사길.. 오버핏 좋아하시면 160대 여성분들은 L사이즈 사야하실 거 같아요그리고 사진이 실물보다 좀 짧아보게 나왔습니다,보통이에요,보통이에요,선명해요,보통이에요,S,62.0,50.0,59.0,60.0
LV 5 Saebom9,여성, 168cm, 67kg,[Mmlg] 19MG HOOD (FISH BLUE),M (기모X),5.0,색감도 예쁘고 쨍해요 사진은 좀 어둡게 나온 편 사이즈 딱 좋음 ,보통이에요,밝아요,선명해요,보통이에요,M (기모X),67.0,56.0,63.0,64.0
LV 4 박지송송,여성, 163cm, 60kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),M (기모X),5.0,일단 색이 진짜 제가 좋아하는 네이비라서 교복보다 자주입고있어요 건조기 돌려서 줄어들어서 길이가 좀 짧아져서 쪼오끔 아쉬워요… 엠엠엘지 옷은 처음 사봤는데 다음에 다른 제품 또 구매하고싶습니당 ,보통이에요,보통이에요,보통이에요,보통이에요,M (기모X),67.0,56.0,63.0,64.0
LV 3 sange0n_0,남성, 168cm, 55kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),M,5.0,지금날씨에 입기좋고 레이어드해서 체육복이랑 입어도 너무 이쁘네요 ,보통이에요,보통이에요,선명해요,보통이에요,M,67.0,56.0,63.0,64.0
LV 3 준  혁,남성, 176cm, 71kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),L (기모X),4.0,사이즈가 조금 큰데 정말 좋아요 정사이즈 입을거면 한 치수 작게 사는게 좋을 것 같아요,커요,보통이에요,보통이에요,보통이에요,L (기모X),70.0,59.0,66.0,67.0
LV 5 우엽안,남성, 173cm, 64kg,[Mmlg] 19MG HOOD (NATURAL SOAP),M,5.0,할인할 때 잘 샀습니다 예쁘고 편해서 자주 입어요,보통이에요,보통이에요,보통이에요,보통이에요,M,67.0,56.0,63.0,64.0
LV 5 Zzina yun,남성, 166cm, 70kg,[Mmlg] 19MG HOOD (EVERY GREY),M,5.0,이쁩니다 안에털이좀 많이빠지기는 한데 그것빼곤 좋아요,보통이에요,보통이에요,보통이에요,보통이에요,M,67.0,56.0,63.0,64.0
LV 4 민초펩시부먹,남성, 181cm, 80kg,[Mmlg] 19MG HOOD (EVERY GREY),L,5.0,Mmlg 처음 사보는데 이뻐요 대충 걸쳐입어도 이쁘네여,보통이에요,보통이에요,선명해요,보통이에요,L,70.0,59.0,66.0,67.0
LV 3 kbm180,남성, 165cm, 76kg,[Mmlg] 19MG HOOD (EVERY BLACK),M,5.0,완전마음에들어요~회색 추가주문했습니다 잘입을께요,보통이에요,어두워요,보통이에요,두꺼워요,M,67.0,56.0,63.0,64.0
LV 5 닝닝닝닝닝닝닝닝닝,여성, 155cm, 45kg,[Mmlg] 19MG HOOD (DENVER GREEN),S,5.0,사이즈 s랑 m사이즈 구매했는데 제 키엔 s사이즈 딱 맞아요 세트로 입으면 좋아요 연두색 짱,보통이에요,보통이에요,보통이에요,보통이에요,S,62.0,50.0,59.0,60.0
LV 4 응애는응애라서응애밖에못해,남성, 171cm, 65kg,[Mmlg] 19MG HOOD (EVERY BLACK),M,5.0,이쁘고 사이즈도 잘 맞아요! 잘 입고 다니겠습니다~,보통이에요,밝아요,선명해요,보통이에요,M,67.0,56.0,63.0,64.0
LV 5 뚱뚱씨,남성, 175cm, 90kg,[Mmlg] 19MG HOOD (EVERY GREY),L,5.0,생각보다 길이가 짧아요 정말 잘입을거같았아요,보통이에요,보통이에요,보통이에요,보통이에요,L,70.0,59.0,66.0,67.0
LV 4 노래하는홍재,남성, 181cm, 72kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),L,5.0,가볍게 입기 좋은 것 같아요ㅎ사이즈 더 큰게 나왔으면 좋겠습니다,보통이에요,보통이에요,선명해요,보통이에요,L,70.0,59.0,66.0,67.0
LV 4 노래하는홍재,남성, 181cm, 72kg,[Mmlg] 19MG HOOD (AUTHENTIC NAVY),M,5.0,기장은 딱 적당하고 옷 재질이 너무 마음에 듭니다ㅎ,보통이에요,보통이에요,선명해요,보통이에요,M,67.0,56.0,63.0,64.0
LV 3 동그라밓,여성, 162cm, 45kg,[Mmlg] 19MG HOOD (EVERY BLACK),M,5.0,옷이 탄탄하고 핏도 좋아서 잘 입고있습니다 맘에들어요,보통이에요,보통이에요,보통이에요,두꺼워요,M,67.0,56.0,63.0,64.0
LV 4 몰바!!,여성, 156cm, 40kg,[Mmlg] 19MG HOOD (WOODY BROWN),S (기모X),5.0,완전 생각했던거 보다 더 예뻐서 맘에 쏙 들어요러,보통이에요,보통이에요,보통이에요,보통이에요,S (기모X),62.0,50.0,59.0,60.0
LV 5 나다야다,남성, 174cm, 30kg,[Mmlg] 19MG HOOD (EVERY GREY),L (기모X),5.0,청바지에 잘 어울리네요 후드티가 짱짱해서 잘 산 것 같급니다,보통이에요,보통이에요,보통이에요,보통이에요,L (기모X),70.0,59.0,66.0,67.0
LV 5 upseo,남성, 177cm, 74kg,[Mmlg] 19MG HOOD (REDBEAN),M,5.0,진짜 깔끔하고 좋아요 색감도 이쁘고 재질도 좋습니다!,보통이에요,어두워요,선명해요,보통이에요,M,67.0,56.0,63.0,64.0
LV 3 밀크박사,여성, 179cm, 69kg,[Mmlg] 19MG HOOD (WOODY BROWN),L (기모X),3.0,라지사이즈 세미 오버핏으로 맞습니다사진과 색상같음,보통이에요,보통이에요,보통이에요,보통이에요,L (기모X),70.0,59.0,66.0,67.0
